County name,Square miles,Median age,Average family size,Population per square mile,Total population,Crop acreage,Percent white,Percent black,Percent Hispanic,Percent Asian,Percent other or multiple race/ethnicity,Percent renter occupied units,Percent owner occupied units,Percent vacant units
Jefferson,410.9,41.6,2.88,176.8,72654,39782,0.9248518148,0.0568381736,0.0062116004,0.0033426259,0.0147779251,0.2343876723,0.679282689,0.0863296386
Knox,529.3,36.5,3.03,108.9,57634,158522,0.9766238532,0.006733945,0.0068073394,0.0034495413,0.0130275229,0.2229615014,0.6936172165,0.0834212821
Lake,231.1,38.6,3.03,988.4,228424,13081,0.9539802471,0.019897939,0.0170497251,0.0090017626,0.0169398403,0.2158481928,0.7436435012,0.040508306
Lawrence,457.3,37.6,2.96,136.7,62506,23065,0.9655000883,0.0208925047,0.0056964971,0.0018774371,0.0116657841,0.2294310199,0.6802015521,0.090367428
Licking,687.7,36.6,3.01,224.2,154177,183912,0.9563959283,0.0205510994,0.0076087181,0.0058354125,0.0170182348,0.2421715453,0.7042035398,0.0536249149
Logan,466.9,36.9,3.01,102.1,47650,188214,0.9614824476,0.0170850994,0.0072166069,0.004021302,0.017128573,0.2028649576,0.6295489314,0.167586111
Lorain,494.8,36.5,3.08,589.4,291641,109918,0.8554436107,0.0850230447,0.0691200854,0.0059824916,0.0532908973,0.2456271101,0.7046997342,0.0496731557
Lucas,346.4,35,3.06,1297.4,449429,75312,0.7750245026,0.1697996282,0.0454231805,0.0121458113,0.0428278842,0.3228132213,0.6088485114,0.0683382673
Madison,466.5,35.8,3.06,88.7,41358,238360,0.9175142367,0.0624424937,0.0073110686,0.0043518265,0.0155422376,0.2628654768,0.6866449059,0.0504896173
Mahoning,423.4,39.7,3.02,593.8,251425,56414,0.8104171924,0.1587389101,0.029663567,0.0047368523,0.0258663198,0.2499328931,0.6679730141,0.0820940928
Marion,404.5,37.2,2.98,162,65540,207030,0.9210172614,0.0574625851,0.0109186463,0.0051950405,0.0162345017,0.253099095,0.6814966918,0.0654042132
Medina,422.9,36.6,3.15,387.1,163710,81152,0.9726066382,0.0087560806,0.0092590754,0.0064131838,0.0120586386,0.1800574014,0.7803074323,0.0396351663
Meigs,432.4,38.6,2.94,54.3,23489,38605,0.9772884882,0.0068914702,0.005981276,0.0010402219,0.0147798197,0.1764051196,0.6800222593,0.143572621
Mercer,473.3,35.7,3.24,86.8,41073,236888,0.9844101261,0.000952986,0.0114847034,0.0028589581,0.01155801,0.1848188976,0.7446929134,0.070488189
Miami,409.2,37.7,2.99,242.4,99177,174265,0.9577820933,0.0195412065,0.0072925517,0.007889307,0.0146963628,0.2622675938,0.6855304039,0.0522020023
Monroe,457.4,40.8,2.96,32.8,15001,47555,0.9872200264,0.0026350461,0.0040843215,0.0007246377,0.0092885375,0.160427066,0.6744315031,0.1651414309
Montgomery,464.2,36.4,2.96,1190,552390,93117,0.7657182924,0.198600513,0.0126926888,0.0131309229,0.0221996845,0.3259419666,0.5967203745,0.0773376589
Morgan,421.9,38.9,2.98,35.3,14913,42285,0.9365644089,0.0341008257,0.0040947842,0.0008055313,0.0285292341,0.1648436495,0.5931025608,0.2420537897
Morrow,407.3,36.5,3.09,79.5,32396,132124,0.9836537245,0.0026874921,0.0057860124,0.0014544075,0.0121727583,0.1683976261,0.7794263106,0.0521760633
Muskingum,672.6,36.5,3.01,125.1,84128,102596,0.9391499675,0.0401016729,0.0051545782,0.0027309807,0.0178163977,0.2452577994,0.6795210875,0.0752211131
Noble,404.6,35.5,3.1,35.7,14461,51185,0.9254517001,0.0668658415,0.0042680324,0.0009247404,0.006757718,0.1673357664,0.6622262774,0.1704379562
Ottawa,265.7,41,2.92,155.8,41407,97255,0.9656215689,0.0064657802,0.0374527266,0.002293522,0.0251311455,0.1249020837,0.5203274322,0.3547704841
Paulding,418.9,36.5,3.06,49.4,20694,195568,0.9585078599,0.0095599468,0.0301581826,0.0015276204,0.0302567388,0.1485020052,0.76834159,0.0831564048
Perry,412.3,35,3.13,82.9,34197,62971,0.9854158108,0.0021714889,0.0044603557,0.0009683667,0.0113269558,0.1883559136,0.7270596851,0.0845844013
Pickaway,506.6,36,3.02,106.5,53967,240818,0.9194909629,0.0643124016,0.0063155499,0.002218977,0.013655243,0.239944074,0.7064422456,0.0536136804
Pike,443.9,35.3,3.04,64.5,28611,43544,0.967178191,0.0088824698,0.0055966781,0.0018414876,0.0217367756,0.2697810722,0.6304085502,0.0998103775
Portage,507.2,34.4,3.03,306.2,155286,62010,0.9439961594,0.0318293316,0.0071879049,0.00819408,0.0158489027,0.2696851704,0.6696285942,0.0606862354
